"","source","target","flagBL","weight","generation"
"155",2,878,FALSE,0.276043361524509,1
"156",2,879,FALSE,0.389474361323661,1
"157",2,539,TRUE,0.425603461144651,1
"158",2,880,TRUE,0.393691483234845,1
"159",2,742,TRUE,0.584884544661147,1
"160",2,881,TRUE,0.561803976521223,1
"161",2,882,TRUE,0.5711668977121,1
"162",2,220,TRUE,0.622221883415556,1
"163",2,883,TRUE,0.469921496536918,1
"164",2,586,TRUE,0.591201145649282,1
"165",2,26,FALSE,0.514519600380161,1
"166",2,884,TRUE,0.427879371426368,1
"167",2,885,TRUE,0.391369565627051,1
"168",2,886,TRUE,0.525226680404964,1
"169",2,32,FALSE,0.434583723041765,1
"170",2,887,TRUE,0.571554209199552,1
"171",2,64,FALSE,0.537922009713269,1
"172",2,888,TRUE,0.299870429786645,1
"173",2,889,TRUE,0.242505373106842,1
"174",2,890,TRUE,0.588624608594498,1
"175",2,817,TRUE,0.304661873489334,1
"176",2,891,FALSE,0.228324373789987,1
"177",2,892,FALSE,0.373327837586277,1
"178",2,893,TRUE,0.458735393875838,1
"179",2,668,TRUE,0.617055337400972,1
"180",2,894,FALSE,0.175484105386347,1
"181",2,895,FALSE,0.263799394105271,1
"182",2,896,TRUE,0.474071117198504,1
"183",2,897,FALSE,0.395339842071487,1
"184",2,898,TRUE,0.320128419648396,1
"185",2,899,TRUE,0.363827888450105,1
"186",2,900,FALSE,0.494957667424488,1
"187",2,901,FALSE,0.363155186461384,1
"188",2,902,FALSE,0.43437879220751,1
"189",2,903,TRUE,0.340291119651027,1
"190",2,904,FALSE,0.233701462892028,1
"191",2,430,TRUE,0.42468759322102,1
"192",2,905,TRUE,0.566585029789643,1
"193",2,906,TRUE,0.402487135317381,1
"194",2,907,FALSE,0.249116403441038,1
"195",2,908,TRUE,0.333700279099805,1
"196",2,909,FALSE,0.261505457176235,1
"197",2,910,TRUE,0.344144058708571,1
"198",2,911,TRUE,0.505430179455155,1
"199",2,829,TRUE,0.489154569440584,1
"200",2,830,TRUE,0.260703277606405,1
"201",2,67,TRUE,0.249951487522116,1
"202",2,912,TRUE,0.326749383629211,1
"203",2,913,FALSE,0.289716457818611,1
"204",2,914,TRUE,0.521775550677694,1
"205",2,795,TRUE,0.601933268682902,1
"206",2,915,TRUE,0.464117510277645,1
"207",2,916,TRUE,0.232333186941273,1
"208",2,38,TRUE,0.312871043133841,1
"209",2,408,TRUE,0.450232345987136,1
"210",2,917,FALSE,0.321037389328816,1
"211",2,533,TRUE,0.2658228371453,1
"212",2,29,TRUE,0.347755338083935,1
"213",2,918,TRUE,0.724525238851119,1
"214",2,247,TRUE,0.555709723282614,1
"215",2,919,FALSE,0.479895628492511,1
"216",2,920,TRUE,0.457352784038145,1
"217",2,789,TRUE,0.445941139657811,1
"218",2,75,FALSE,0.348302223313466,1
"219",2,921,TRUE,0.455074406583601,1
"220",2,922,TRUE,0.545561738541869,1
"221",2,546,TRUE,0.400802550941099,1
"222",2,923,TRUE,0.22172312227005,1
"223",2,924,FALSE,0.51876761257057,1
"224",2,925,FALSE,0.516263076552516,1
"225",2,926,FALSE,0.154089512146018,1
"226",2,787,FALSE,0.553803234243169,1
"227",2,678,TRUE,0.368832324835743,1
"228",2,927,TRUE,0.229792159856479,1
"229",2,139,FALSE,0.545449189420414,1
"230",2,928,FALSE,0.58575199524527,1
"231",2,929,TRUE,0.44577299304406,1
"232",2,930,FALSE,0.276189091868171,1
"233",2,444,TRUE,0.443974376166826,1
"234",2,1,TRUE,0.555820849793521,1
"235",2,439,FALSE,0.617802397783046,1
"236",2,931,TRUE,0.416807976113562,1
"237",2,932,TRUE,0.393157417155581,1
"238",2,933,FALSE,0.359472584507657,1
"239",2,934,TRUE,0.361872955776311,1
"240",2,935,TRUE,0.452987498255076,1
"241",2,936,FALSE,0.372787752618991,1
"242",2,101,FALSE,0.455940427660022,1
"243",2,937,TRUE,0.345107620811365,1
"244",2,938,TRUE,0.502805554445656,1
"245",2,939,FALSE,0.383016040521752,1
"246",2,245,FALSE,0.586755602496006,1
"247",2,940,FALSE,0.517500880785835,1
"248",2,941,TRUE,0.375625990623831,1
"249",2,942,FALSE,0.455166517464924,1
"250",2,943,TRUE,0.38768634474115,1
"251",2,944,FALSE,0.325231342321605,1
"252",2,945,FALSE,0.349636155838818,1
"253",2,946,FALSE,0.151706448033846,1
"254",2,947,FALSE,0.384141255401256,1
"255",2,948,TRUE,0.251194441406627,1
"256",2,103,TRUE,0.491379853689672,1
"257",2,949,TRUE,0.485413148010188,1
"258",2,950,TRUE,0.239658528539628,1
"259",2,951,TRUE,0.305178717121856,1
"260",2,178,TRUE,0.380302506908484,1
"261",2,952,TRUE,0.297524838541188,1
"262",2,491,TRUE,0.317003910866342,1
"263",2,646,TRUE,0.28531337313956,1
"264",2,59,TRUE,0.312814830431043,1
"265",2,248,TRUE,0.468330323633198,1
"266",2,953,TRUE,0.584204942277788,1
"267",2,954,TRUE,0.369047773571824,1
"268",2,155,TRUE,0.583657449046835,1
"269",2,955,TRUE,0.180173924010583,1
"270",2,143,TRUE,0.578499595801241,1
"271",2,956,FALSE,0.337961720124019,1
"272",2,957,TRUE,0.487115111130291,1
"273",2,958,TRUE,0.362412170938666,1
"274",2,959,FALSE,0.454762118007702,1
"275",2,579,TRUE,0.478973959975151,1
"276",2,256,FALSE,0.55091579387131,1
"277",2,960,FALSE,0.27406061402896,1
"278",2,961,TRUE,0.351169294288805,1
"279",2,962,FALSE,0.382165066004041,1
"280",2,963,FALSE,0.320806612607781,1
"281",2,964,TRUE,0.347414143575228,1
"282",2,965,FALSE,0.431630972458393,1
"283",2,966,TRUE,0.370830254870557,1
"284",2,269,TRUE,0.366845454585378,1
"285",2,967,TRUE,0.517151390053895,1
"286",2,30,TRUE,0.387861376656472,1
"287",2,968,FALSE,0.509845836548568,1
"288",2,969,TRUE,0.402637566884212,1
"289",2,970,TRUE,0.383929948798766,1
"290",2,971,FALSE,0.291762225662591,1
"291",2,972,TRUE,0.211629434336085,1
"292",2,973,FALSE,0.442834474637165,1
"293",2,974,FALSE,0.171283421565383,1
"294",2,975,FALSE,0.235025976630174,1
"295",2,976,FALSE,0.206725283633561,1
"296",2,977,FALSE,0.485969577742646,1
"297",2,978,FALSE,0.323046275787191,1
"298",2,979,FALSE,0.304100789358233,1
"299",2,980,TRUE,0.365679007481828,1
"300",2,981,FALSE,0.357820601857827,1
"301",2,982,FALSE,0.337219453364659,1
"302",2,983,TRUE,0.415163802020472,1
"303",2,984,FALSE,0.280787889859311,1
"304",2,985,FALSE,0.333501245069742,1
"305",2,544,TRUE,0.351359660986107,1
"306",2,71,TRUE,0.331335324454201,1
"307",2,986,TRUE,0.410165799484284,1
"308",2,987,TRUE,0.667196427655004,1
"309",2,988,FALSE,0.177242807653343,1
"310",2,989,FALSE,0.277839085267014,1
"311",2,990,FALSE,0.342977332654004,1
"312",2,127,TRUE,0.36373282477288,1
"313",2,991,FALSE,0.371613049090718,1
"314",2,992,TRUE,0.340614873758621,1
"315",2,993,TRUE,0.498410255595048,1
"316",2,671,TRUE,0.315515978606466,1
"317",2,994,FALSE,0.077835177882857,1
"318",2,995,FALSE,0.276024626789239,1
"319",2,996,TRUE,0.354555697386162,1
"320",2,997,TRUE,0.395670440807201,1
